Timestamp,Temperature,Humidity,Moisture
2023/04/19_19-20-22,33.3,48.0,0.0
2023/04/19_19-21-22,32.4,48.0,0.0
2023/04/19_19-22-22,32.0,49.0,0.0
2023/04/19_19-23-22,32.0,51.0,1.0
2023/04/19_19-24-22,32.3,50.0,1.0
2023/04/19_19-25-22,32.0,52.0,0.0
2023/04/19_19-26-22,32.5,50.0,1.0
2023/04/19_19-27-22,32.4,49.0,0.0
2023/05/11_13-40-25,33.6,73.0,0.0
2023/05/11_13-40-47,33.4,75.0,0.0
2023/05/11_13-40-49,33.5,75.0,0.0
2023/05/11_13-40-51,33.5,75.0,0.0
2023/05/11_13-40-52,33.5,75.0,0.0
2023/05/11_13-40-54,33.5,75.0,0.0
2023/05/11_13-40-56,33.4,75.0,1.0
2023/05/11_13-41-04,33.4,75.0,0.0
2023/05/11_13-41-06,33.5,75.0,0.0
2023/05/11_13-41-08,33.5,75.0,0.0
2023/05/11_13-41-09,33.5,75.0,0.0
2023/05/11_13-41-11,33.5,75.0,1.0
2023/05/11_13-41-14,33.4,75.0,1.0
2023/05/11_13-41-16,33.5,75.0,0.0
2023/05/11_13-41-18,33.5,75.0,0.0
2023/05/11_13-41-20,33.5,75.0,0.0
2023/05/11_13-42-09,33.5,75.0,0.0
2023/05/11_13-42-30,33.5,77.0,0.0
2023/05/11_13-42-31,33.5,76.0,1.0
2023/05/11_13-42-42,33.5,76.0,0.0
2023/05/11_13-42-43,33.5,76.0,0.0
2023/05/11_13-42-45,0.0,0.0,0.0
2023/05/11_13-42-47,33.5,76.0,0.0
2023/05/11_13-42-49,33.5,76.0,0.0
2023/05/11_13-42-51,33.5,76.0,1.0
2023/05/11_13-43-01,0.0,0.0,0.0
2023/05/11_13-43-04,0.0,0.0,0.0
2023/05/11_13-43-06,33.5,77.0,0.0
2023/05/11_13-43-08,33.5,77.0,0.0
2023/05/11_13-43-09,33.5,77.0,0.0
2023/05/11_13-43-11,0.0,0.0,0.0
2023/05/11_13-43-13,33.5,77.0,0.0
2023/05/11_13-43-15,33.6,77.0,0.0
2023/05/11_13-43-16,33.5,76.0,0.0
2023/05/11_13-43-18,33.6,76.0,0.0
2023/05/11_13-43-20,33.6,76.0,0.0
2023/05/11_13-43-22,33.6,76.0,0.0
2023/05/11_13-43-23,0.0,0.0,0.0
2023/05/11_13-43-26,0.0,0.0,0.0
2023/05/11_13-45-15,33.6,76.0,0.0
2023/05/11_13-45-17,33.3,78.0,0.0
2023/05/11_13-45-19,33.3,77.0,0.0
2023/05/11_13-45-20,33.3,78.0,1.0
